reporting_year,action_id,budget_area_code,action_type_code,financing_code,status_code,project_name,total_cost_czk,adjusted_budget_czk,paid_czk,sfdi_paid_czk,eu_paid_czk,region_code,investor_name,investor_ico,investor_address,start_period,end_period,source_url
2024,5001510002,60,a1,G,GP,Příprava a zabezpečení staveb - silnice I. třídy,20424514000.00,2516372000.00,2516372000.00,2516372000.00,0.00,BAL,ŘSD s. p.,65993390,"Čerčanská 2023/12, Praha 4 - Krč  14000",01/24,12/24,https://kz.sfdi.cz/opendata/export_evid_m330_2024.csv
2024,5001510003,60,a1,G,G,Vypořádání staveb po dokončení silnice I. třídy vč. rychlostních silnic UV,1790634000.00,114826000.00,114826000.00,114826000.00,0.00,BAL,ŘSD s. p.,65993390,"Čerčanská 2023/12, Praha 4 - Krč  14000",01/24,12/24,https://kz.sfdi.cz/opendata/export_evid_m330_2024.csv
2024,5001550003,60,a5,G,GP,Příprava a zabezpečení staveb - dálnice,36906043000.00,3187502000.00,3187501140.00,3187501140.00,0.00,BAL,ŘSD s. p.,65993390,"Čerčanská 2023/12, Praha 4 - Krč  14000",01/24,12/24,https://kz.sfdi.cz/opendata/export_evid_m330_2024.csv
2024,5001550005,60,a5,G,G,Vypořádání staveb po dokončení dálnice UV,2247467000.00,63396000.00,63396000.00,63396000.00,0.00,BAL,ŘSD s. p.,65993390,"Čerčanská 2023/12, Praha 4 - Krč  14000",01/24,12/24,https://kz.sfdi.cz/opendata/export_evid_m330_2024.csv
2024,5001550033,60,q,G,G,PPP D4,92718159.78,92718159.78,27752021.37,27752021.37,0.00,BAL,"VIA SALIS, s.r.o.",09869905,"Bucharova 2657/12, Praha  15800",01/24,12/24,https://kz.sfdi.cz/opendata/export_evid_m330_2024.csv
2024,5001550036,60,m,CEF2,R24,Rozvoj C-ITS na pozemních komunikacích sítě TEN-T v České republice,216957000.00,801000.00,760515.25,446252.75,314262.50,BAL,ŘSD s. p.,65993390,"Čerčanská 2023/12, Praha 4 - Krč  14000",02/24,12/25,https://kz.sfdi.cz/opendata/export_evid_m330_2024.csv
2024,5001550038,50,m,CEF2,R24,Provoz C-ITS na pozemních komunikacích sítě TEN-T v ČR,17598000.00,1501000.00,1334165.36,782857.36,551308.00,BAL,ŘSD s. p.,65993390,"Čerčanská 2023/12, Praha 4 - Krč  14000",12/25,12/25,https://kz.sfdi.cz/opendata/export_evid_m330_2024.csv
2024,5001560001,60,m,M,M,Mýto - investiční náklady dodavatele,11468672000.00,50383000.00,50382511.35,50382511.35,0.00,BAL,ŘSD s. p.,65993390,"Čerčanská 2023/12, Praha 4 - Krč  14000",01/07,12/30,https://kz.sfdi.cz/opendata/export_evid_m330_2024.csv
2024,5001560002,60,a1,G,G,Investiční akce s RN do 100 mil. Kč,12219230000.00,706017000.00,706017000.00,706017000.00,0.00,BAL,ŘSD s. p.,65993390,"Čerčanská 2023/12, Praha 4 - Krč  14000",01/24,12/24,https://kz.sfdi.cz/opendata/export_evid_m330_2024.csv
2024,5001560003,60,m,T6,M,Telematika - investice,10428843000.00,315000000.00,315000000.00,315000000.00,0.00,BAL,ŘSD s. p.,65993390,"Čerčanská 2023/12, Praha 4 - Krč  14000",01/24,12/24,https://kz.sfdi.cz/opendata/export_evid_m330_2024.csv
