reporting_year,founder_id,source_recipient_name,amount,reason,source_url
2024,founder:00063941,"Školní jídelna, Praha 10, Vršovická 1429/68, příspěvková organizace",34732000,source_recipient_not_in_school_registry,https://praha10.cz/wp-content/uploads/2025/12/Rozpocet-prisp.-organizaci-odboru-skolstvi-na-rok-2024-a-vyhledy-2025-2026-zverejneno-21.12.2023-dopl.-Bajkal.-II.xlsx
2024,founder:00063941,"Kulturní dům Barikádníků, Praha 10, příspěvková organizace",7357000,source_recipient_not_in_school_registry,https://praha10.cz/wp-content/uploads/2025/12/Rozpocet-prisp.-organizaci-odboru-skolstvi-na-rok-2024-a-vyhledy-2025-2026-zverejneno-21.12.2023-dopl.-Bajkal.-II.xlsx
2024,founder:70890692,"Dětský domov a Školní jídelna, Ostrava-Slezská Ostrava, Na Vizině 28, příspěvková organizace",6327000,source_recipient_not_in_school_registry,https://www.msk.cz/kraj/zastupitelstvo/prilohy_usneseni.html?cp=4&cu=1454&d=2023-12-07&rz=z&s=14
2024,founder:70890692,"Dětský domov Loreta a Školní jídelna, Fulnek, příspěvková organizace",4079000,source_recipient_not_in_school_registry,https://www.msk.cz/kraj/zastupitelstvo/prilohy_usneseni.html?cp=4&cu=1454&d=2023-12-07&rz=z&s=14
2024,founder:70890692,"Dětský domov a Školní jídelna, Radkov-Dubová 141, příspěvková organizace",6044000,source_recipient_not_in_school_registry,https://www.msk.cz/kraj/zastupitelstvo/prilohy_usneseni.html?cp=4&cu=1454&d=2023-12-07&rz=z&s=14
2024,founder:70890692,"Vzdělávací a sportovní centrum, Bílá, příspěvková organizace",2848000,source_recipient_not_in_school_registry,https://www.msk.cz/kraj/zastupitelstvo/prilohy_usneseni.html?cp=4&cu=1454&d=2023-12-07&rz=z&s=14
2024,founder:70890692,"Pedagogicko-psychologická poradna, Ostrava-Zábřeh, příspěvková organizace",1690000,source_recipient_not_in_school_registry,https://www.msk.cz/kraj/zastupitelstvo/prilohy_usneseni.html?cp=4&cu=1454&d=2023-12-07&rz=z&s=14
2024,founder:70890692,"Domov mládeže a Školní jídelna-výdejna, Ostrava-Hrabůvka, Krakovská 1095, příspěvková organizace",3709000,source_recipient_not_in_school_registry,https://www.msk.cz/kraj/zastupitelstvo/prilohy_usneseni.html?cp=4&cu=1454&d=2023-12-07&rz=z&s=14
2024,founder:70890692,"Pedagogicko-psychologická poradna, Karviná, příspěvková organizace",1846000,source_recipient_not_in_school_registry,https://www.msk.cz/kraj/zastupitelstvo/prilohy_usneseni.html?cp=4&cu=1454&d=2023-12-07&rz=z&s=14
2024,founder:70890692,"Pedagogicko-psychologická poradna, Nový Jičín, příspěvková organizace",1603000,source_recipient_not_in_school_registry,https://www.msk.cz/kraj/zastupitelstvo/prilohy_usneseni.html?cp=4&cu=1454&d=2023-12-07&rz=z&s=14
2024,founder:70890692,"Krajské zařízení pro další vzdělávání pedagogických pracovníků a informační centrum, Nový Jičín, příspěvková organizace",5997000,source_recipient_not_in_school_registry,https://www.msk.cz/kraj/zastupitelstvo/prilohy_usneseni.html?cp=4&cu=1454&d=2023-12-07&rz=z&s=14
2024,founder:70890692,"Školní statek, Opava, příspěvková organizace",29957000,source_recipient_not_in_school_registry,https://www.msk.cz/kraj/zastupitelstvo/prilohy_usneseni.html?cp=4&cu=1454&d=2023-12-07&rz=z&s=14
2024,founder:70890692,"Pedagogicko-psychologická poradna, Opava, příspěvková organizace",2016000,source_recipient_not_in_school_registry,https://www.msk.cz/kraj/zastupitelstvo/prilohy_usneseni.html?cp=4&cu=1454&d=2023-12-07&rz=z&s=14
2024,founder:70890692,"Pedagogicko-psychologická poradna, Frýdek-Místek, příspěvková organizace",1442000,source_recipient_not_in_school_registry,https://www.msk.cz/kraj/zastupitelstvo/prilohy_usneseni.html?cp=4&cu=1454&d=2023-12-07&rz=z&s=14
2024,founder:70890692,"Pedagogicko-psychologická poradna, Bruntál, příspěvková organizace",1171000,source_recipient_not_in_school_registry,https://www.msk.cz/kraj/zastupitelstvo/prilohy_usneseni.html?cp=4&cu=1454&d=2023-12-07&rz=z&s=14
2024,founder:70890692,"Dětský domov Úsměv a Školní jídelna, Ostrava-Slezská Ostrava, Bukovanského 25, příspěvková organizace",3610000,source_recipient_not_in_school_registry,https://www.msk.cz/kraj/zastupitelstvo/prilohy_usneseni.html?cp=4&cu=1454&d=2023-12-07&rz=z&s=14
