reporting_year,founder_id,source_recipient_name,amount,reason,source_url
2024,founder:70890692,"Dětský domov a Školní jídelna, Ostrava-Hrabová, Reymontova 2a, příspěvková organizace",4638000,source_recipient_not_in_school_registry,https://www.msk.cz/kraj/zastupitelstvo/prilohy_usneseni.html?cp=4&cu=1454&d=2023-12-07&rz=z&s=14
2024,founder:70890692,"Dětský domov a Školní jídelna, Havířov-Podlesí, Čelakovského 1, příspěvková organizace",3012000,source_recipient_not_in_school_registry,https://www.msk.cz/kraj/zastupitelstvo/prilohy_usneseni.html?cp=4&cu=1454&d=2023-12-07&rz=z&s=14
2024,founder:70890692,"Dětský domov SRDCE a Školní jídelna, Karviná-Fryštát, Vydmuchov 10, příspěvková organizace",6843000,source_recipient_not_in_school_registry,https://www.msk.cz/kraj/zastupitelstvo/prilohy_usneseni.html?cp=4&cu=1454&d=2023-12-07&rz=z&s=14
2024,founder:70890692,"Dětský domov a Školní jídelna, Nový Jičín, Revoluční 56, příspěvková organizace",4601000,source_recipient_not_in_school_registry,https://www.msk.cz/kraj/zastupitelstvo/prilohy_usneseni.html?cp=4&cu=1454&d=2023-12-07&rz=z&s=14
2024,founder:70890692,"Dětský domov a Školní jídelna, Příbor, Masarykova 607, příspěvková organizace",2988000,source_recipient_not_in_school_registry,https://www.msk.cz/kraj/zastupitelstvo/prilohy_usneseni.html?cp=4&cu=1454&d=2023-12-07&rz=z&s=14
2024,founder:70890692,"Dětský domov a Školní jídelna, Budišov nad Budišovkou, příspěvková organizace",3770000,source_recipient_not_in_school_registry,https://www.msk.cz/kraj/zastupitelstvo/prilohy_usneseni.html?cp=4&cu=1454&d=2023-12-07&rz=z&s=14
2024,founder:70890692,"Dětský domov a Školní jídelna, Melč 4, příspěvková organizace",6192000,source_recipient_not_in_school_registry,https://www.msk.cz/kraj/zastupitelstvo/prilohy_usneseni.html?cp=4&cu=1454&d=2023-12-07&rz=z&s=14
2024,founder:70890692,"Dětský domov a Školní jídelna, Opava, Rybí trh 14, příspěvková organizace",7524000,source_recipient_not_in_school_registry,https://www.msk.cz/kraj/zastupitelstvo/prilohy_usneseni.html?cp=4&cu=1454&d=2023-12-07&rz=z&s=14
2024,founder:70890692,"Dětský domov a Školní jídelna, Frýdek-Místek, příspěvková organizace",7514000,source_recipient_not_in_school_registry,https://www.msk.cz/kraj/zastupitelstvo/prilohy_usneseni.html?cp=4&cu=1454&d=2023-12-07&rz=z&s=14
2024,founder:70890692,"Dětský domov a Školní jídelna, Čeladná 87, příspěvková organizace",7522000,source_recipient_not_in_school_registry,https://www.msk.cz/kraj/zastupitelstvo/prilohy_usneseni.html?cp=4&cu=1454&d=2023-12-07&rz=z&s=14
2024,founder:70890692,"Dětský domov a Školní jídelna, Lichnov 253, příspěvková organizace",5756000,source_recipient_not_in_school_registry,https://www.msk.cz/kraj/zastupitelstvo/prilohy_usneseni.html?cp=4&cu=1454&d=2023-12-07&rz=z&s=14
