institution_id,programme,project_name,amount,basis,certainty
school:72052422,Operační program Jan Amos Komenský,ZUŠ Žďár nad Sázavou - Šablony,824250,allocated,observed
school:72085355,Operační program Jan Amos Komenský,Šablony I JAK - ZUŠ Česká Třebová,392500,allocated,observed
school:70913536,Operační program Jan Amos Komenský,Šablony pro ZUŠ,416050,allocated,observed
school:63731983,Operační program Jan Amos Komenský,Šablony I - ZUŠ Sologubova Ostrava – Profesní rozvoj pedagogů,1204975,allocated,observed
school:00851914,Operační program Jan Amos Komenský,Šablony I - ZUŠ Valašské Meziříčí – Profesní rozvoj pedagogů,2849550,allocated,observed
school:47184442,Operační program Jan Amos Komenský,Šablony I - ZUŠ Přerov - Profesní rozvoj pedagogů,2657225,allocated,observed
school:60337346,Operační program Jan Amos Komenský,Klíček – otevírá bránu do světa poznání,443525,allocated,observed
school:62331647,Operační program Jan Amos Komenský,Šablony I - ZUŠ L.Janáčka Havířov – Profesní rozvoj pedagogů,2056700,allocated,observed
school:62073346,Operační program Jan Amos Komenský,Šablony OP JAK - Vzdělávání pedagogů,1507200,allocated,observed
school:65650808,Operační program Jan Amos Komenský,Šablony I pro ZŠ s RVTv Na Stínadlech v Teplicích,1236375,allocated,observed
school:47813504,Operační program Jan Amos Komenský,Šablony I - ZUŠ Hradec nad Moravicí – Profesní rozvoj pedagogů,741825,allocated,observed
school:70840628,Operační program Jan Amos Komenský,Šablony I - ZUŠ Tábor,1664200,allocated,observed
school:61989177,Operační program Jan Amos Komenský,Šablony I - ZUŠ Ostrava Petřkovice – Profesní rozvoj pedagogů,804625,allocated,observed
school:62330292,Operační program Jan Amos Komenský,Rozvoj profesních kompetencí pracovníků ZUŠ Nový Jičín,2256875,allocated,observed
school:70983119,Operační program Jan Amos Komenský,ZŠ Donín digitálně,667250,allocated,observed
school:46790039,Operační program Jan Amos Komenský,Sebevzdělávání,647625,allocated,observed
school:61985228,Operační program Jan Amos Komenský,Šablony I - ZUŠ Lipník nad Bečvou - Profesní rozvoj pedagogů,1071525,allocated,observed
school:70888396,Operační program Jan Amos Komenský,Šablony I OPJAK - ZŠ - POMSKOLA Jihlava,612300,allocated,observed
school:72745118,Operační program Jan Amos Komenský,Zvyšování kvality vzdělávání ZŠ Bystřany,102050,allocated,observed
school:61989207,Operační program Jan Amos Komenský,Rozvoj školy prostřednictvím vzdělávání jejich pedagogických pracovníků,847800,allocated,observed
school:64327981,Operační program Jan Amos Komenský,ZŠ Palackého Brno 002,510250,allocated,observed
school:70921580,Operační program Jan Amos Komenský,Rozvoj moderního předškolního učitele,235500,allocated,observed
school:70987238,Operační program Jan Amos Komenský,Rozvoj pedagogů,588750,allocated,observed
school:70695822,Operační program Jan Amos Komenský,Vzdělávání pracovníků ZŠ a MŠ,137375,allocated,observed
school:47659262,Operační program Jan Amos Komenský,Digitalizace má zelenou,1440475,allocated,observed
school:70986061,Operační program Jan Amos Komenský,Podpora vzdělávání zaměstnanců k profesnímu růstu,431750,allocated,observed
school:47324082,Operační program Jan Amos Komenský,Vzdělávání pro budoucnost,102050,allocated,observed
school:70238910,Operační program Jan Amos Komenský,Sebevzdělávání je naše cesta,502400,allocated,observed
school:47489791,Operační program Jan Amos Komenský,Podpora vzdělávání v ZUŠ Moravská Třebová,353250,allocated,observed
school:00583740,Operační program Jan Amos Komenský,"ZŠ Plešivec - OP JAK, Šablony I",1373750,allocated,observed
school:60075856,Operační program Jan Amos Komenský,Učíme se,200175,allocated,observed
school:70946710,Operační program Jan Amos Komenský,"MŠ Plešivec II - OP JAK, Šablony I",117750,allocated,observed
school:75156237,Operační program Jan Amos Komenský,Waldorfská škola Brno - šablony I,2366775,allocated,observed
school:47515767,Operační program Jan Amos Komenský,Vzdělávání zaměstnanců školy,690800,allocated,observed
school:00849898,Operační program Jan Amos Komenský,Šablony 4 OP JAK ZŠ Hlučín-Rovniny,2398175,allocated,observed
school:00847097,Operační program Jan Amos Komenský,"Zvyšování kvalit ve výuce na ZŠ a MŠ P. Bezruče, Třinec",1428700,allocated,observed
school:71010688,Operační program Jan Amos Komenský,Nové metody pedagogické práce - rozšíření vzdělání učitelů MŠ Dlažov,376800,allocated,observed
school:70872015,Operační program Jan Amos Komenský,Škola pro život,251200,allocated,observed
school:60275871,Operační program Jan Amos Komenský,Šablony OP JAK pro MŠ speciální Žatec,447450,allocated,observed
school:71295135,Operační program Jan Amos Komenský,Pokračujeme spolu II,380725,allocated,observed
school:71234357,Operační program Jan Amos Komenský,"Vzděláváme se, abychom kvalitně vzdělávali",102050,allocated,observed
school:48515027,Operační program Jan Amos Komenský,SŠ Gemini Brno - Šablony,781075,allocated,observed
school:00561151,Operační program Jan Amos Komenský,Vzdělávání pro pedagogy SZŠ FM,808550,allocated,observed
school:61385298,Operační program Jan Amos Komenský,Šablony I. OP JAK pro Gymnázium nad Kavalírkou,2421725,allocated,observed
school:00601675,Operační program Jan Amos Komenský,Metodická podpora výuky III,1554300,allocated,observed
school:47935774,Operační program Jan Amos Komenský,Profesní růst a rozvoj spolupráce a kolegiálního sdílení pracovníků gymnázia,1059750,allocated,observed
school:62690043,Operační program Jan Amos Komenský,Gybon - Podpora rozvoje učitelů III,463150,allocated,observed
school:60371757,Operační program Jan Amos Komenský,Rozvoj pracovníků ve vzdělávání,1177500,allocated,observed
school:00843407,Operační program Jan Amos Komenský,SPŠS Vsetín - osobnostně profesní rozvoj pedagogických pracovníků školy III,1695600,allocated,observed
school:48161209,Operační program Jan Amos Komenský,OP JAK Obchodní akademie Pardubice,1746625,allocated,observed
school:60884690,Operační program Jan Amos Komenský,OP JAK - šablony pro SŠ,879200,allocated,observed
school:49589679,Operační program Jan Amos Komenský,Šablony na OA Šumperk III,637846,allocated,observed
school:49518917,Operační program Jan Amos Komenský,GJP Mělník - šablony OP JAK,117750,allocated,observed
school:70831378,Operační program Jan Amos Komenský,Profesor III,537725,allocated,observed
school:71009108,Operační program Jan Amos Komenský,Šablony I - MŠ Chrášťany,382641,allocated,observed
school:70189005,Operační program Jan Amos Komenský,Šablony IV.,353460,allocated,observed
school:72041447,Operační program Jan Amos Komenský,Šablony I - MŠ Malé Kyšice,353460,allocated,observed
school:71004424,Operační program Jan Amos Komenský,Šablony I - ZŠ Hostouň,494844,allocated,observed
school:72744961,Operační program Jan Amos Komenský,Šablony I - ZŠ Radostín,464152,allocated,observed
school:75033399,Operační program Jan Amos Komenský,Šablony JAK pro MŠ Měšice I,527147,allocated,observed
school:75034361,Operační program Jan Amos Komenský,MŠ Velká Dobrá - Rok v mateřské škole,424152,allocated,observed
school:75001373,Operační program Jan Amos Komenský,MŠ Malovice-Školní asistent,412233,allocated,observed
school:70283311,Operační program Jan Amos Komenský,MŠ Duha Třebíč - Máme školního asistenta,1001196,allocated,observed
school:70984697,Operační program Jan Amos Komenský,Šablona I OPJAK - Zkvalitnění předškolního vzdělávání v MŠ Makovského,791309,allocated,observed
school:70989575,Operační program Jan Amos Komenský,MŠ Valentýnka - Co vidí sluníčko,512517,allocated,observed
school:71177701,Operační program Jan Amos Komenský,Personální podpora pro MŠ Mořice IV,353460,allocated,observed
school:70945276,Operační program Jan Amos Komenský,MŠ Charlese de Gaulla - Vesele do světa,441825,allocated,observed
school:70999953,Operační program Jan Amos Komenský,MŠ Sedmikrásky Opava - Šablony,1113399,allocated,observed
school:47813237,Operační program Jan Amos Komenský,MŠ Křesťanská Opava - Šablony,659655,allocated,observed
school:75001861,Operační program Jan Amos Komenský,Šablony I - Staré Město,871320,allocated,observed
school:70943311,Operační program Jan Amos Komenský,Šablony I - Prakšice,1130661,allocated,observed
school:70982708,Operační program Jan Amos Komenský,Šablony I - Kostelany nad Moravou,422641,allocated,observed
school:60611855,Operační program Jan Amos Komenský,Šablony I - Blatnice,848304,allocated,observed
school:70986827,Operační program Jan Amos Komenský,Šablony I - 1. MŠ Protivín,588963,allocated,observed
school:70988251,Operační program Jan Amos Komenský,MŠ Ruda - Poznáváme Česko,477171,allocated,observed
school:49745948,Operační program Jan Amos Komenský,Šablony I - Kozolupy,1150377,allocated,observed
school:75030438,Operační program Jan Amos Komenský,Šablony JAK I MŠ Líbeznice,683082,allocated,observed
school:70229422,Operační program Jan Amos Komenský,MŠ Zdravíčko Ústí - Zdravíčko,459498,allocated,observed
school:70262969,Operační program Jan Amos Komenský,ZŠ Brno Novoměstská - Šablony,3178128,allocated,observed
school:70982317,Operační program Jan Amos Komenský,"Šablony I JAK - MŠ Česká Třebová, Habrmanova",706920,allocated,observed
school:71009809,Operační program Jan Amos Komenský,Šablony JAK I pro MŠ Klíčany,424152,allocated,observed
school:71002031,Operační program Jan Amos Komenský,Podpora vzdělávání v MŠ Šumice,471006,allocated,observed
school:71008063,Operační program Jan Amos Komenský,MŠ Jaroměř OPJAK Šablony I,1360821,allocated,observed
school:73728985,Operační program Jan Amos Komenský,Šablony I – MŠ Lipová Nejdek,565536,allocated,observed
school:70986835,Operační program Jan Amos Komenský,Šablony I - 2. MŠ Protivín,530190,allocated,observed
school:70914320,Operační program Jan Amos Komenský,Šablony I - Starovičky,854058,allocated,observed
school:72742836,Operační program Jan Amos Komenský,Šablony I - Dlouhý Most,895158,allocated,observed
school:75017300,Operační program Jan Amos Komenský,Šablony I - MŠ Taušlova,530190,allocated,observed
school:70934002,Operační program Jan Amos Komenský,Cesta ke kvalitnímu vzdělávání v MŠ Varenská,602345,allocated,observed
school:70107416,Operační program Jan Amos Komenský,Šablony I - ZŠ a MŠ Kořenského,2816904,allocated,observed
school:70996920,Operační program Jan Amos Komenský,MŠ Čechtice - Sluníčko,541698,allocated,observed
school:60611693,Operační program Jan Amos Komenský,OP JAK – Šablony I – MŠ Sokolov Borovského,503524,allocated,observed
school:70990514,Operační program Jan Amos Komenský,Šablony I - Velešovice,854058,allocated,observed
school:75031116,Operační program Jan Amos Komenský,Šablony I - ZŠ a MŠ Býchory,1089561,allocated,observed
school:70991235,Operační program Jan Amos Komenský,Šablony I - Dráček,441825,allocated,observed
school:70993084,Operační program Jan Amos Komenský,Šablony I - Zubří,765282,allocated,observed
school:75031558,Operační program Jan Amos Komenský,MŠ Velké Popovice šablony OP JAK,541698,allocated,observed
school:70996466,Operační program Jan Amos Komenský,Šablony I - MŠ Březinova,441825,allocated,observed
school:71000631,Operační program Jan Amos Komenský,Šablony I - MŠ Lidice,400314,allocated,observed
school:75022605,Operační program Jan Amos Komenský,ZŠ Letonice - Duhová škola,477171,allocated,observed
school:72542713,Operační program Jan Amos Komenský,Šablona I OPJAK - Zkvalitnění předškolního vzdělávání v MŠ Komerční,686999,allocated,observed
school:62072757,Operační program Jan Amos Komenský,Šablony OP JAK Boskovice,10358458,allocated,observed
school:62060422,Operační program Jan Amos Komenský,Šablony1_2022,1901688,allocated,observed
school:71011196,Operační program Jan Amos Komenský,Šablony I - Zlepšení kvality výuky v MŠ Prosečné,382641,allocated,observed
school:71001727,Operační program Jan Amos Komenský,OP JAK I. - ZŠ Olomučany,777612,allocated,observed
school:47861665,Operační program Jan Amos Komenský,Šablony I - Vratimov,3319528,allocated,observed
school:70994951,Operační program Jan Amos Komenský,Šablony I - Braškov,471006,allocated,observed
school:60437928,Operační program Jan Amos Komenský,Podpora vzdělávání v MŠ Lojovická,500598,allocated,observed
school:70997829,Operační program Jan Amos Komenský,Šablony I - Holasovice,494844,allocated,observed
school:70999759,Operační program Jan Amos Komenský,Šablony I - Na Pastvisku,518271,allocated,observed
school:64328465,Operační program Jan Amos Komenský,MŠ Brno Herčíkova - V pohodě a radosti objevujeme svět,541698,allocated,observed
school:70984905,Operační program Jan Amos Komenský,Šablony I JAK - MŠ Hnátnice,422641,allocated,observed
school:75017458,Operační program Jan Amos Komenský,Operační program Jan Amos Komenský - MŠ SLUNÍČKO,588963,allocated,observed
school:70982970,Operační program Jan Amos Komenský,Kvalitní vzdělávání,1039622,allocated,observed
school:70997489,Operační program Jan Amos Komenský,Šablony I - MŠ Liblice,424152,allocated,observed
school:70985677,Operační program Jan Amos Komenský,Šablony I - Horní Bradlo,729247,allocated,observed
school:75032813,Operační program Jan Amos Komenský,Šablony I – Moderní vzdělávání v MŠ Vrdy,588963,allocated,observed
school:75033186,Operační program Jan Amos Komenský,Šablony I - Černuc,353460,allocated,observed
school:04121066,Operační program Jan Amos Komenský,Šablony I - Jíloviště,376887,allocated,observed
school:60159065,Operační program Jan Amos Komenský,"Šablony I – Moderní vzdělávání v ZŠ Pardubice, Prodloužená",4393860,allocated,observed
school:49465571,Operační program Jan Amos Komenský,Personální podpora JM 5,842112,allocated,observed
school:70996458,Operační program Jan Amos Komenský,Šablony I - MŠ Vítkova,494844,allocated,observed
school:70996393,Operační program Jan Amos Komenský,Šablony I - MŠ Myslebkova,559371,allocated,observed
school:70983381,Operační program Jan Amos Komenský,Šablony I - Bečov,1362633,allocated,observed
school:70988544,Operační program Jan Amos Komenský,Šablony I - Oslov,400314,allocated,observed
school:70984816,Operační program Jan Amos Komenský,Šablony I - MŠ U Elektrárny,412233,allocated,observed
school:75021480,Operační program Jan Amos Komenský,MŠ Suchý 002,376887,allocated,observed
school:70849510,Operační program Jan Amos Komenský,Škola hrou v Hustopečích,974630,allocated,observed
school:67006761,Operační program Jan Amos Komenský,Škola hrou v Bučovicích,1179797,allocated,observed
school:70285756,Operační program Jan Amos Komenský,Škola hrou Znojmo,2516482,allocated,observed
school:69781907,Operační program Jan Amos Komenský,Šablony pro ZŠ a MŠ U Santošky,2215766,allocated,observed
school:71004980,Operační program Jan Amos Komenský,Školka hrou Luleč,413167,allocated,observed
school:44555474,Operační program Jan Amos Komenský,Šablony pro ZŠ I,1969944,allocated,observed
school:75027305,Operační program Jan Amos Komenský,Šablony I. - MŠ Blahoslavova Ostrava,536042,allocated,observed
school:70107564,Operační program Jan Amos Komenský,Šablony pro MŠ Tréglova,530190,allocated,observed
school:71007601,Operační program Jan Amos Komenský,Šablony I - personální podpora do MŠ Starý Bydžov,353460,allocated,observed
school:70984379,Operační program Jan Amos Komenský,Šablona I OPJAK - Zkvalitnění předškolního vzdělávání v MŠ Nezvalovo náměstí,890063,allocated,observed
school:70984689,Operační program Jan Amos Komenský,Šablona I OPJAK - Rozvoj a zkvalitnění předškolního vzdělávání v MŠ Oty Synka,1010965,allocated,observed
school:70107815,Operační program Jan Amos Komenský,Šablony pro MŠ Kurandové,611460,allocated,observed
school:70982449,Operační program Jan Amos Komenský,Šablony I - Na Výsluní,500598,allocated,observed
school:69979847,Operační program Jan Amos Komenský,Šablony I - ZŠ Kraslice,3330521,allocated,observed
school:45234647,Operační program Jan Amos Komenský,Krok za krokem k poznání 4,566999,allocated,observed
school:75017423,Operační program Jan Amos Komenský,Šablony I - personální podpora do MŠ Beruška,588963,allocated,observed
school:70984646,Operační program Jan Amos Komenský,Šablona I OPJAK - Rozvoj a zkvalitnění předškolního vzdělávání v MŠ Dětská,838624,allocated,observed
school:75034671,Operační program Jan Amos Komenský,JAK MŠ Ratenice,376887,allocated,observed
school:70999848,Operační program Jan Amos Komenský,Šablony I - personální podpora do MŠ Chudeřice,441825,allocated,observed
school:72743719,Operační program Jan Amos Komenský,JAK 2022-23,459498,allocated,observed
school:70933766,Operační program Jan Amos Komenský,Dukla pro inkluzi- šablony IV,2411860,allocated,observed
school:04187997,Operační program Jan Amos Komenský,Šablona I OPJAK - Rozvoj a zkvalitnění předškolního vzdělávání v MŠ Zámostní,794235,allocated,observed
school:75026368,Operační program Jan Amos Komenský,Šablony IV na MŠ Doubrava,401973,allocated,observed
school:47922206,Operační program Jan Amos Komenský,Podpora kvality vzdělávání školního klubu Gymnázia Jiřího Wolkera Prostějov,400000,allocated,observed
school:48677141,Operační program Jan Amos Komenský,Společně pro děti,2820252,allocated,observed
school:75033810,Operační program Jan Amos Komenský,Pomáháme jeden druhému,3727698,allocated,observed
school:75024071,Operační program Jan Amos Komenský,Báječná školka MŠ Kyselovice 2022,371133,allocated,observed
school:70914877,Operační program Jan Amos Komenský,Podpora kvality vzdělávání na MŠ Kopretina Jeseník,742266,allocated,observed
school:70982431,Operační program Jan Amos Komenský,Šablony I - Vančurova,559371,allocated,observed
school:61631914,Operační program Jan Amos Komenský,Šablony I - ZŠ Semice,1201196,allocated,observed
school:45845085,Operační program Jan Amos Komenský,Šablony I - Líšnice,1156542,allocated,observed
school:71009710,Operační program Jan Amos Komenský,Šablony I - Klučov,400314,allocated,observed
school:64327787,Operační program Jan Amos Komenský,Šablony I - MŠ Kneslova,518271,allocated,observed
school:64327507,Operační program Jan Amos Komenský,Šablony I - MŠ Štolcova,518271,allocated,observed
school:70189013,Operační program Jan Amos Komenský,Šablony I - personální podpora do MŠ Pal. NB,633185,allocated,observed
school:70981761,Operační program Jan Amos Komenský,ZŠ a MŠ Rožná Šablony JAK,928304,allocated,observed
school:71294872,Operační program Jan Amos Komenský,Společně objevujeme svět,371133,allocated,observed
school:70993505,Operační program Jan Amos Komenský,Šablony I - personální podpora do MŠ Sloupno,441825,allocated,observed
school:70188548,Operační program Jan Amos Komenský,"MŠ Klíček, RK -  šablony OP JAK",575098,allocated,observed
school:70981833,Operační program Jan Amos Komenský,Šablony I - personální podpora do MŠ Volanice,382641,allocated,observed
school:47721499,Operační program Jan Amos Komenský,Podpora ZUŠ Járy Cimrmana,1746300,allocated,observed
school:47863765,Operační program Jan Amos Komenský,Podpora MŠ Vyhlídka formou zjednodušených projektů Šablony I. OP JAK,895158,allocated,observed
school:70996474,Operační program Jan Amos Komenský,Šablony I - Zlepšení kvality výuky v ZŠ Náchod Drtinovo náměstí,671574,allocated,observed
school:62156942,Operační program Jan Amos Komenský,MŠ Brno Prušánecká - Školní asistent,706920,allocated,observed
school:70839964,Operační program Jan Amos Komenský,Škola hrou ve Veselí nad Moravou,1568000,allocated,observed
school:48160385,Operační program Jan Amos Komenský,Rovný přístup ke vzdělání v MŠ Moravany,464152,allocated,observed
school:75006570,Operační program Jan Amos Komenský,Podpora činnosti MŠ Skalná - 2022,503524,allocated,observed
school:70987742,Operační program Jan Amos Komenský,Podpora péče o děti v MŠ Ostrava-Radvanice,600882,allocated,observed
school:70991081,Operační program Jan Amos Komenský,Podpora péče o děti v MŠ Ostrava-Plesná,424152,allocated,observed
school:70984182,Operační program Jan Amos Komenský,Podpora péče o děti v MŠ Gen. Janka,494844,allocated,observed
school:75019329,Operační program Jan Amos Komenský,MŠ Fügnerova Jičín - Šablony I,467078,allocated,observed
school:49753509,Operační program Jan Amos Komenský,Duhový svět,504152,allocated,observed
