institution_id,founder_id,amount,basis,certainty,attribution_method,source_document_kind,source_recipient_name,match_method,source_url,note
school:47611014,founder:00063941,6000000,budgeted,observed,recipient_reported_founder_budget,approved_school_budget,"Základní škola, Praha 10, Nad Vodovodem 460/81, příspěvková organizace",normalized_exact,https://praha10.cz/wp-content/uploads/2025/12/Rozpocet-prisp.-organizaci-odboru-skolstvi-na-rok-2024-a-vyhledy-2025-2026-zverejneno-21.12.2023-dopl.-Bajkal.-II.xlsx,Městská část Praha 10 approved 2024 school budget; recipient-level revenue from the founder budget
school:47611057,founder:00063941,7000000,budgeted,observed,recipient_reported_founder_budget,approved_school_budget,"Základní škola Karla Čapka, Praha 10, Kodaňská 658/16, příspěvková organizace",normalized_exact,https://praha10.cz/wp-content/uploads/2025/12/Rozpocet-prisp.-organizaci-odboru-skolstvi-na-rok-2024-a-vyhledy-2025-2026-zverejneno-21.12.2023-dopl.-Bajkal.-II.xlsx,Městská část Praha 10 approved 2024 school budget; recipient-level revenue from the founder budget
school:47611073,founder:00063941,7500000,budgeted,observed,recipient_reported_founder_budget,approved_school_budget,"Základní škola, Praha 10, Olešská 2222/18, příspěvková organizace",normalized_exact,https://praha10.cz/wp-content/uploads/2025/12/Rozpocet-prisp.-organizaci-odboru-skolstvi-na-rok-2024-a-vyhledy-2025-2026-zverejneno-21.12.2023-dopl.-Bajkal.-II.xlsx,Městská část Praha 10 approved 2024 school budget; recipient-level revenue from the founder budget
school:47611171,founder:00063941,6600000,budgeted,observed,recipient_reported_founder_budget,approved_school_budget,"Základní škola, Praha 10, Hostýnská 2100/2, příspěvková organizace",normalized_exact,https://praha10.cz/wp-content/uploads/2025/12/Rozpocet-prisp.-organizaci-odboru-skolstvi-na-rok-2024-a-vyhledy-2025-2026-zverejneno-21.12.2023-dopl.-Bajkal.-II.xlsx,Městská část Praha 10 approved 2024 school budget; recipient-level revenue from the founder budget
school:47611740,founder:00063941,2900000,budgeted,observed,recipient_reported_founder_budget,approved_school_budget,"Mateřská škola, Praha 10, Vladivostocká 1034/8, příspěvková organizace",catalog_alias,https://praha10.cz/wp-content/uploads/2025/12/Rozpocet-prisp.-organizaci-odboru-skolstvi-na-rok-2024-a-vyhledy-2025-2026-zverejneno-21.12.2023-dopl.-Bajkal.-II.xlsx,Městská část Praha 10 approved 2024 school budget; recipient-level revenue from the founder budget
school:47611871,founder:00063941,6400000,budgeted,observed,recipient_reported_founder_budget,approved_school_budget,"Základní škola, Praha 10, Břečťanová 2919/6, příspěvková organizace",normalized_exact,https://praha10.cz/wp-content/uploads/2025/12/Rozpocet-prisp.-organizaci-odboru-skolstvi-na-rok-2024-a-vyhledy-2025-2026-zverejneno-21.12.2023-dopl.-Bajkal.-II.xlsx,Městská část Praha 10 approved 2024 school budget; recipient-level revenue from the founder budget
school:47611880,founder:00063941,6700000,budgeted,observed,recipient_reported_founder_budget,approved_school_budget,"Základní škola, Praha 10, Gutova 1987/39, příspěvková organizace",normalized_exact,https://praha10.cz/wp-content/uploads/2025/12/Rozpocet-prisp.-organizaci-odboru-skolstvi-na-rok-2024-a-vyhledy-2025-2026-zverejneno-21.12.2023-dopl.-Bajkal.-II.xlsx,Městská část Praha 10 approved 2024 school budget; recipient-level revenue from the founder budget
school:47611898,founder:00063941,6200000,budgeted,observed,recipient_reported_founder_budget,approved_school_budget,"Základní škola Solidarita, Praha 10, Brigádniků 510/14, příspěvková organizace",normalized_exact,https://praha10.cz/wp-content/uploads/2025/12/Rozpocet-prisp.-organizaci-odboru-skolstvi-na-rok-2024-a-vyhledy-2025-2026-zverejneno-21.12.2023-dopl.-Bajkal.-II.xlsx,Městská část Praha 10 approved 2024 school budget; recipient-level revenue from the founder budget
school:48132012,founder:00063941,6400000,budgeted,observed,recipient_reported_founder_budget,approved_school_budget,"Základní škola, Praha 10, V Rybníčkách 1980/31, příspěvková organizace",normalized_exact,https://praha10.cz/wp-content/uploads/2025/12/Rozpocet-prisp.-organizaci-odboru-skolstvi-na-rok-2024-a-vyhledy-2025-2026-zverejneno-21.12.2023-dopl.-Bajkal.-II.xlsx,Městská část Praha 10 approved 2024 school budget; recipient-level revenue from the founder budget
school:48132489,founder:00063941,4400000,budgeted,observed,recipient_reported_founder_budget,approved_school_budget,"Mateřská škola, Praha 10, Hřibská 2102/1, příspěvková organizace",name_similarity,https://praha10.cz/wp-content/uploads/2025/12/Rozpocet-prisp.-organizaci-odboru-skolstvi-na-rok-2024-a-vyhledy-2025-2026-zverejneno-21.12.2023-dopl.-Bajkal.-II.xlsx,Městská část Praha 10 approved 2024 school budget; recipient-level revenue from the founder budget
