institution_id,amount,basis,certainty,note
school:75033046,25394156,realized,observed,FIN 2-01 PO account 672/673; school IČO 75033046
school:70998540,19266024,realized,observed,FIN 2-01 PO account 672/673; school IČO 70998540
school:70992118,13097430,realized,observed,FIN 2-01 PO account 672/673; school IČO 70992118
school:71000585,54151555,realized,observed,FIN 2-01 PO account 672/673; school IČO 71000585
school:70991634,49231044,realized,observed,FIN 2-01 PO account 672/673; school IČO 70991634
school:70993661,21605486,realized,observed,FIN 2-01 PO account 672/673; school IČO 70993661
school:75033011,11828228,realized,observed,FIN 2-01 PO account 672/673; school IČO 75033011
school:75002922,38124657,realized,observed,FIN 2-01 PO account 672/673; school IČO 75002922
school:70998515,30420339,realized,observed,FIN 2-01 PO account 672/673; school IČO 70998515
school:70996890,26701768,realized,observed,FIN 2-01 PO account 672/673; school IČO 70996890
school:75033054,50907799,realized,observed,FIN 2-01 PO account 672/673; school IČO 75033054
school:75033062,71806328,realized,observed,FIN 2-01 PO account 672/673; school IČO 75033062
school:75033071,83559616,realized,observed,FIN 2-01 PO account 672/673; school IČO 75033071
school:71004491,22998684,realized,observed,FIN 2-01 PO account 672/673; school IČO 71004491
school:75033003,9244003,realized,observed,FIN 2-01 PO account 672/673; school IČO 75033003
school:70998523,13722751,realized,observed,FIN 2-01 PO account 672/673; school IČO 70998523
school:71006559,28887885,realized,observed,FIN 2-01 PO account 672/673; school IČO 71006559
school:70996920,8060972,realized,observed,FIN 2-01 PO account 672/673; school IČO 70996920
school:70993441,2290720,realized,observed,FIN 2-01 PO account 672/673; school IČO 70993441
school:71002138,2575595,realized,observed,FIN 2-01 PO account 672/673; school IČO 71002138
school:70998558,5912832,realized,observed,FIN 2-01 PO account 672/673; school IČO 70998558
school:70996946,8518593,realized,observed,FIN 2-01 PO account 672/673; school IČO 70996946
school:70996954,10135364,realized,observed,FIN 2-01 PO account 672/673; school IČO 70996954
school:70996938,4214262,realized,observed,FIN 2-01 PO account 672/673; school IČO 70996938
school:75033020,14089412,realized,observed,FIN 2-01 PO account 672/673; school IČO 75033020
school:75033038,30066692,realized,observed,FIN 2-01 PO account 672/673; school IČO 75033038
school:71004581,4184552,realized,observed,FIN 2-01 PO account 672/673; school IČO 71004581
school:71001085,13451353,realized,observed,FIN 2-01 PO account 672/673; school IČO 71001085
school:70990654,36419342,realized,observed,FIN 2-01 PO account 672/673; school IČO 70990654
school:70996865,23341612,realized,observed,FIN 2-01 PO account 672/673; school IČO 70996865
school:70990751,10127585,realized,observed,FIN 2-01 PO account 672/673; school IČO 70990751
school:75034794,6993019,realized,observed,FIN 2-01 PO account 672/673; school IČO 75034794
school:75033453,19917579,realized,observed,FIN 2-01 PO account 672/673; school IČO 75033453
