institution_id,ico,total_costs_amount,materials_amount,energy_amount,repairs_amount,services_amount,personnel_amount,depreciation_amount,other_costs_amount,basis,certainty,note
school:00077704,00077704,41846068,3418310,1829922,566024,2296618,30600634,2026538,1108022,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00077879,00077879,45481880,6009833,1502468,6305675,2513114,25234187,2482267,1434336,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00082201,00082201,136611642,5854018,6083880,1277504,5973993,106438723,7624886,3358638,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00082554,00082554,113205869,11643210,4073618,907842,4828191,81959969,4418728,5374311,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00082571,00082571,60299517,3661375,4745784,174846,3035288,44918772,1370768,2392684,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00082627,00082627,117303375,4527538,3996973,1635759,6306853,97775866,1350460,1709926,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00087408,00087408,67087573,2464971,3989030,338276,3389148,54724242,1305913,875993,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00087670,00087670,61711828,4611678,2628919,642860,4256151,45139398,2760878,1671944,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00087751,00087751,97113926,11412683,4559033,1625037,5734377,66082820,2782210,4917766,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00087815,00087815,52632662,4770404,3235346,929406,3752417,37162612,671106,2111371,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00087840,00087840,32929866,3992872,2030223,1133483,1793616,20725339,986269,2268064,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00087858,00087858,29651680,3420810,1669204,1482503,863771,19781437,1682666,751289,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00087891,00087891,77817179,7154501,2311949,7351535,2953844,52039300,3138146,2867904,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00087939,00087939,31453817,2472117,2211576,1606287,1645791,21432621,1498545,586880,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00087998,00087998,40998110,2889326,1702198,1585255,1453380,30381157,331657,2655137,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00096725,00096725,60304647,834873,1003876,1182348,1621975,53779118,804937,1077520,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00100307,00100307,37068095,1822708,2198944,1109947,1563620,27431465,1646671,1294740,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00100340,00100340,44280357,2845521,1181797,1105016,2404921,31471552,2452781,2818769,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00125423,00125423,138688391,6327594,7457310,2043010,4963385,98216239,15780611,3900242,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00128198,00128198,94796175,8379749,1274478,1045964,6329639,65845054,9698780,2222511,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00140147,00140147,54055187,3572529,1598594,3307806,3134623,36239620,3894630,2307385,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00145238,00145238,63862224,2259753,3319607,1045840,3204088,49774986,2427943,1830007,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00173843,00173843,123607941,3260399,5829522,2665989,8675436,93500708,5100643,4575244,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00175790,00175790,106997265,9200029,2322262,2381843,4698996,77834584,4442134,6117417,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
