institution_id,pedagogical_amount,nonpedagogical_amount,oniv_amount,other_amount,operations_amount,investment_amount,bucket_basis,bucket_certainty
school:60552255,116679890,15469331,1347360,45987929,0,0,allocated,observed
school:18383696,102613096,11971974,5839419,39875605,0,0,allocated,observed
school:70837911,108277012,8010890,490630,40468190,0,0,allocated,observed
school:00582158,90973537,13471122,8963176,36346742,0,0,allocated,observed
school:00300268,94102153,12595685,3490566,37130847,0,0,allocated,observed
school:14891212,90004874,13998986,3178294,36193344,0,0,allocated,observed
school:49872427,92382670,8231174,1019469,35013617,0,0,allocated,observed
school:69457930,81392154,11203694,10859010,32223355,0,0,allocated,observed
school:00226475,84670571,12573459,1398020,33840922,0,0,allocated,observed
school:66610702,81321145,10147758,4170132,31831178,0,0,allocated,observed
school:60545992,78098306,10671731,4022329,30891973,0,0,allocated,observed
school:62690361,82579203,7553894,714219,31366318,0,0,allocated,observed
school:18383874,78875888,9657761,1582304,30809709,0,0,allocated,observed
school:00555878,78041761,8741881,1624721,30200707,0,0,allocated,observed
school:49774301,78657510,7670222,984432,30042050,0,0,allocated,observed
school:00600920,78577369,7736393,716751,30037190,0,0,allocated,observed
school:15530213,75812819,8609532,919140,29378979,0,0,allocated,observed
school:14891522,71357996,9934249,3429427,28289701,0,0,allocated,observed
school:00875911,74813485,5949050,2169083,28105362,0,0,allocated,observed
school:00669695,73091385,8566013,856947,28416775,0,0,allocated,observed
school:00380385,72701758,8797392,952800,28361705,0,0,allocated,observed
school:72085428,68527536,8998731,6106294,26979141,0,0,allocated,observed
school:00077461,69972882,8682584,4495827,27372103,0,0,allocated,observed
school:00219321,63490289,10291783,10129122,25676161,0,0,allocated,observed
school:41324641,69426401,8827081,3076018,27232212,0,0,allocated,observed
school:00602078,74953989,5169028,297570,27882810,0,0,allocated,observed
school:62157213,74056839,5400813,301020,27651263,0,0,allocated,observed
school:62072757,69456876,5958357,1968595,26244501,0,0,allocated,observed
school:70918805,70053364,5332661,1863370,26234336,0,0,allocated,observed
school:72744260,68598381,7762140,519050,26573461,0,0,allocated,observed
school:14451018,63852393,9525110,3666136,25535371,0,0,allocated,observed
school:02013762,68219953,7290611,710913,26277677,0,0,allocated,observed
school:44555091,71457789,4026441,716320,26268512,0,0,allocated,observed
school:13644319,68062276,7248232,767490,26208057,0,0,allocated,observed
school:15062848,66388790,7773648,1110349,25808528,0,0,allocated,observed
school:48161179,65134233,8119282,1677250,25492223,0,0,allocated,observed
school:63834286,69157023,4995595,265850,25805111,0,0,allocated,observed
school:00082201,65288788,7717708,1457768,25406261,0,0,allocated,observed
