institution_id,ico,total_costs_amount,materials_amount,energy_amount,repairs_amount,services_amount,personnel_amount,depreciation_amount,other_costs_amount,basis,certainty,note
school:00053155,00053155,102236462,9520335,6494915,2649683,2949331,72872132,5935336,1814730,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00053163,00053163,146024580,11057686,3881781,1012684,3197501,115727939,5412393,5734596,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00053198,00053198,54667910,3255527,1312061,481254,1487842,43725963,1541508,2863755,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00054771,00054771,48849300,2921827,788160,3330933,1981527,35506175,1974584,2346094,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00055069,00055069,67473946,6542931,4604123,627414,2462776,48440490,3832634,963578,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00055107,00055107,101548499,7873920,1971933,4735141,2679553,71245792,8517179,4524981,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00055166,00055166,94409832,7479208,2880670,782670,4306538,71200009,3871771,3888966,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00055301,00055301,87736675,7000902,5386894,1092233,2546369,65540447,3187415,2982415,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00055468,00055468,79984191,7478784,2922614,1998323,4658420,54551320,5700836,2673894,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00056324,00056324,119667846,8933127,4148687,4827713,6491421,85935253,6948744,2382901,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00066702,00066702,64719300,3462333,2361452,0,3507876,53977528,806007,604104,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00066711,00066711,62280672,2907424,2048876,315483,3146043,51969378,288606,1604862,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00066729,00066729,54594086,741922,1408181,604909,2714216,48013411,236759,874688,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00068713,00068713,35788852,566469,967594,129631,1090230,31999386,196556,838986,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00069175,00069175,75454906,7380082,4026328,1857403,4236686,56399387,494972,1060048,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
school:00069221,00069221,64084811,3911672,4793831,3655074,2668096,43819668,1668700,3567770,realized,observed,MONITOR VYKZZ main-activity costs; rent is included in account 518 services
