institution_id,amount,basis,certainty,note
school:00053155,84762172,realized,inferred,"MONITOR VYKZZ account 672/673 public-transfer revenue for school IČO 00053155; amount observed at school, attribution to registered founder inferred"
school:00053163,135030607,realized,inferred,"MONITOR VYKZZ account 672/673 public-transfer revenue for school IČO 00053163; amount observed at school, attribution to registered founder inferred"
school:00053198,51402623,realized,inferred,"MONITOR VYKZZ account 672/673 public-transfer revenue for school IČO 00053198; amount observed at school, attribution to registered founder inferred"
school:00054771,46633118,realized,inferred,"MONITOR VYKZZ account 672/673 public-transfer revenue for school IČO 00054771; amount observed at school, attribution to registered founder inferred"
school:00055069,63274226,realized,inferred,"MONITOR VYKZZ account 672/673 public-transfer revenue for school IČO 00055069; amount observed at school, attribution to registered founder inferred"
school:00055107,92750677,realized,inferred,"MONITOR VYKZZ account 672/673 public-transfer revenue for school IČO 00055107; amount observed at school, attribution to registered founder inferred"
school:00055166,89700123,realized,inferred,"MONITOR VYKZZ account 672/673 public-transfer revenue for school IČO 00055166; amount observed at school, attribution to registered founder inferred"
school:00055301,79247152,realized,inferred,"MONITOR VYKZZ account 672/673 public-transfer revenue for school IČO 00055301; amount observed at school, attribution to registered founder inferred"
school:00055468,73834761,realized,inferred,"MONITOR VYKZZ account 672/673 public-transfer revenue for school IČO 00055468; amount observed at school, attribution to registered founder inferred"
school:00056324,109463901,realized,inferred,"MONITOR VYKZZ account 672/673 public-transfer revenue for school IČO 00056324; amount observed at school, attribution to registered founder inferred"
school:00066702,60380505,realized,inferred,"MONITOR VYKZZ account 672/673 public-transfer revenue for school IČO 00066702; amount observed at school, attribution to registered founder inferred"
school:00066711,58356702,realized,inferred,"MONITOR VYKZZ account 672/673 public-transfer revenue for school IČO 00066711; amount observed at school, attribution to registered founder inferred"
school:00066729,53862148,realized,inferred,"MONITOR VYKZZ account 672/673 public-transfer revenue for school IČO 00066729; amount observed at school, attribution to registered founder inferred"
school:00068713,35548687,realized,inferred,"MONITOR VYKZZ account 672/673 public-transfer revenue for school IČO 00068713; amount observed at school, attribution to registered founder inferred"
school:00069175,63030848,realized,inferred,"MONITOR VYKZZ account 672/673 public-transfer revenue for school IČO 00069175; amount observed at school, attribution to registered founder inferred"
school:00069221,57514172,realized,inferred,"MONITOR VYKZZ account 672/673 public-transfer revenue for school IČO 00069221; amount observed at school, attribution to registered founder inferred"
school:00069434,40659368,realized,inferred,"MONITOR VYKZZ account 672/673 public-transfer revenue for school IČO 00069434; amount observed at school, attribution to registered founder inferred"
school:00069485,35653306,realized,inferred,"MONITOR VYKZZ account 672/673 public-transfer revenue for school IČO 00069485; amount observed at school, attribution to registered founder inferred"
school:00069515,734951054,realized,inferred,"FIN 2-12 M own-budget items 5331/6351 from founder 70891095; pro-rated by MŠMT allocation share (41,343,044 / 74,889,493 = 55.2%)"
school:00069540,38015501,realized,inferred,"MONITOR VYKZZ account 672/673 public-transfer revenue for school IČO 00069540; amount observed at school, attribution to registered founder inferred"
school:00069558,51304465,realized,inferred,"MONITOR VYKZZ account 672/673 public-transfer revenue for school IČO 00069558; amount observed at school, attribution to registered founder inferred"
school:00069566,50117530,realized,inferred,"MONITOR VYKZZ account 672/673 public-transfer revenue for school IČO 00069566; amount observed at school, attribution to registered founder inferred"
school:00069574,36406718,realized,inferred,"MONITOR VYKZZ account 672/673 public-transfer revenue for school IČO 00069574; amount observed at school, attribution to registered founder inferred"
school:00069621,45955861,realized,inferred,"MONITOR VYKZZ account 672/673 public-transfer revenue for school IČO 00069621; amount observed at school, attribution to registered founder inferred"
school:00069647,50872102,realized,inferred,"MONITOR VYKZZ account 672/673 public-transfer revenue for school IČO 00069647; amount observed at school, attribution to registered founder inferred"
school:00072818,43214916,realized,inferred,"MONITOR VYKZZ account 672/673 public-transfer revenue for school IČO 00072818; amount observed at school, attribution to registered founder inferred"
